n,_henonde,renonde
n,ache,parcialidad_indígena_guaraní
n,ache,guayakí
n,achúra,organos_internos_de_res
n,aguai,arbol_frutal_y_su_fruta
n,aguape,camalote
n,aguape,planta_acuática
n,aguara,zorro_americano
n,aguara'i,zorro_americano
n,ahoja,poncho
n,ahoja,tapado
n,ahy'otĩ,velo_del_paladar
n,ahẽ,satanás
n,ahẽ,satán
n,ajuratã,cuello_duro
n,ajuratã,dolor_de_cuello
n,akango,hormiga_de_cabeza_grande
n,akatúa,mano_derecha
n,akatúa,lado_derecho
n,akatúa,la_derecha
n,aka'ẽ,picaza
n,akekẽ,hormiga_cortadora
n,akuti,mamífero_roedor_parecido_al_conejo
n,akãchara,cabello_desgreñado
n,akãpete,golpe_en_la_cabeza_con_la_mano
n,akãrasy,dolor_de_cabeza
n,akãtĩ,cabello_canoso
n,akãyvoty,cresta_de_aves
n,ama,precipitación_pluvial
n,amandy,tiempo_lluvioso
n,amandyke,gota_de_lluvia
n,amandyky,agua_de_lluvia
n,amangurusu,lluvia_torrencial
n,amba'y,árbol_cuyas_hojas_tienen_uso_medicinal
n,amyrỹi,extinto
n,andai,variedad_de_zapallo
n,anga,reemplazante
n,angue,anima
n,angue,alma_de_difunto
n,ano,pájaro_negro_parecido_al_tordo
n,ao,prenda_de_vestir
n,aoao,personaje_mitológico
n,apasusũ,barrial
n,apasusũ,suelo_blando
n,apekũ,velo_del_paladar
n,apekũguy,uvula
n,apekũguy,velo_del_paladar
n,apepu,naranja_agria
n,apere'a,cobayo
n,apere'a,conejillo_de_indias
n,api,cuero_cabelludo
n,apiha,hondita
n,apiru'a,ampolla_de_la_piel
n,apirype,costra_del_recién_nacido
n,apohára,fabricador
n,apopy,ejecutoria;_a
n,apyka'i,saeta_banqueta
n,apyterao,almohadilla_para_llevar_bultos_sobre_la_cabeza
n,apytu'ũ,ceso
n,apytu'ũ,pen­samiento
n,apéro,arreos_que_se_usan_para_montar_a_caballo
n,arahechauka,almana­que
n,arakañy,fin_del_mundo
n,arapaha,fin_del_mundo
n,arapuru,tiempo_de_uso
n,arapyrendy,estrella_fugaz
n,arara'a,variedad_de_hormiga
n,ararokái,arco_iris
n,araro'y,tiempo_frío
n,arasa,árbol_frutal
n,arasaty,guayabal
n,aratiku,árbol_frutal
n,aravai,mal_tiempo
n,arekue,lapso_de_tiempo
n,arete,feriado
n,arete,día_de_fiesta
n,asaje,hora_cercana_al_mediodía
n,atukupe,parte_posterior_de_una_cosa
n,atõi,toque_de_instrumento_musical
n,aupa,pus_dentro_de_la_llaga
n,avatiky,maíz_tierno
n,avatisoka,palo_de_mortero
n,avati'y,marlo
n,avati'y,espiga_de_maíz
n,avañe'ẽ,idioma_guaraní
n,aña,satán
n,añaretã'i,villa_miseria
n,añetembokuatiáva,nota­rio
n,chahã,aruco
n,chahã,pájaro_grande
n,chahã,personaje_legendario
n,chamame,música_típica_de_corrientes
n,chambari,carne_de_patas
n,che,nombre_de_la_letra_ch
n,chesyasy,chingolo
n,chesyasy,pájaro_pequeño
n,chipa,torta_de_almidón_de_mandioca_o_de_harina_de_maíz
n,chipĩu,golpe_en_la_cabeza_con_la_punta_de_los_dedos
n,chiripa,nombre_de_tribu_guaraní
n,chiripepẽ,variedad_de_loro
n,chirirĩ,ruido_tenue
n,chopĩ,baile_típico_paraguayo
n,chori,pucheritos_de_niño
n,chororo,ruido_de_agua_que_cae
n,chulu,ropa_interior
n,chumbe,faja_para_la_cintura
n,chúra,órganos_internos_del_animal_faenado
n,de,nombre_de_la_letra_d
n,eira,gato_salvaje
n,eirete,miel_de_abeja
n,embarakasã,bordona
n,embarakasã,cuerda_de_guitarra
n,etiguara,poeta_indígena
n,forĩfo,voz_nasal
n,forĩfo,paladar_perforado
n,ge,nombre_de_la_letra_g
n,guaiguĩngue,pájaro_nocturno
n,guaira,la_región_de_villarrica
n,guaira,iv_departamento_de_la_república_del_paraguay
n,gualambáu,instrumento_musical_indígena
n,guapo'y,especie_de_higuera
n,guarani,indígenas_que_hablan_el_avañe'ẽ
n,guarimbe,especie_de_pato
n,guarápo,residuo_o_zumo_de_miel_o_tabaco
n,guasuha,vaste­dad
n,guavira,arbusto_frutal
n,gua'i,guaireño
